update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,return_bolt_mean,return_bolt_std,return_bolt_min,return_bolt_max,return_vanilla_mean,return_vanilla_std,return_vanilla_min,return_vanilla_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
10,454,25600,147.5704075973109,152,0.34370117308571935,0.5122566910174651,0.0,2.5374999046325684,0.07675781240686774,0.32932450378001066,0.0,1.9031250476837158,0.26694336044602096,0.3445306109253486,0.0,0.9859374761581421,0.40625,47.90625,21.263759332194766,1.0,64.0,1.8059363126754762,1.3834933638572693,-1.1125120423734187,31.23200218677521,14.48543119430542,3.911181926727295
20,1034,51200,185.1210001447877,301,0.4421630878932774,0.4199958629800649,0.0,1.975000023841858,0.04299316555261612,0.24010080195535466,0.0,1.4812500476837158,0.39916992327198386,0.33675919022646067,0.0,0.971875011920929,0.65625,40.28125,21.121278333412967,2.0,64.0,1.7801878899335861,2.2578531920909883,-1.0063355438411237,17.859835290908812,7.905781030654907,5.444085121154785
30,1792,76800,182.01050015764474,449,0.6236213238800273,0.5054750442663702,0.0,2.481250047683716,0.10362132366965798,0.37876284728528875,0.0,1.860937476158142,0.5200000002980232,0.34206839590195115,0.0,0.9859374761581421,0.7529411764705882,32.37647058823529,21.706586948551294,1.0,64.0,1.4826775342226028,4.2390081763267515,-2.6971992909908296,59.16872391700745,26.87233257293701,14.96729564666748
40,2748,102400,198.6996374932296,595,0.7082735659157644,0.39169181160978167,0.0,3.0999999046325684,0.044800205064601584,0.26396286259250185,0.0,2.325000047683716,0.6634733612175847,0.3088763605996265,0.0,0.971875011920929,0.8852459016393442,23.114754098360656,20.262699608673458,2.0,64.0,1.2527659296989442,5.606087565422058,-2.918614223599434,45.29899637699127,19.71835708618164,16.17638635635376
50,3940,128000,232.6990587378723,722,0.7418803414727888,0.473845446466359,0.0,3.3812499046325684,0.08281250030566485,0.3772384126438878,0.0,2.535937547683716,0.6590678411671239,0.303206716749736,0.0,0.9859374761581421,0.8803418803418803,23.39316239316239,19.760081172606238,1.0,64.0,1.2197408556938172,6.897898602485657,-2.1656657591462136,52.827751541137694,24.236013412475586,19.953978538513184
60,5372,153600,227.7009367650757,855,0.845335145359454,0.48804607700611224,0.0,3.268749952316284,0.11341711835584779,0.449305907924975,0.0,2.4515624046325684,0.7319180252759353,0.2432647464866621,0.0,0.9859374761581421,0.9492753623188406,18.702898550724637,16.25227271522349,1.0,64.0,1.1735927641391755,8.081500256061553,-2.5994669914245607,57.71180748939514,26.244699478149414,20.856657028198242
70,6917,179200,223.69179542037378,974,0.8661361886763278,0.4380331794899854,0.0,3.0999999046325684,0.09293981466764285,0.41069799839105037,0.0,2.325000047683716,0.7731963736407551,0.22071377758322136,0.0,0.9859374761581421,0.9567901234567902,15.820987654320987,14.650624358240414,1.0,64.0,1.003834383189678,8.539277410507202,-3.675751742720604,86.44866762161254,39.53854179382324,32.78138446807861
80,8650,204800,219.9982895835103,1090,0.8750157827379728,0.3526237096711948,0.0,3.4375,0.050189394240427496,0.3258332817414199,0.0,2.578125,0.8248263892501292,0.16885998837233732,0.0,0.9859374761581421,0.9797979797979798,12.313131313131313,11.328560906623581,1.0,64.0,0.8620609313249588,9.54642186164856,-3.091185921430588,55.849631023406985,24.8250093460083,27.1174955368042
90,10589,230400,219.14683014733086,1206,0.8738524370915662,0.33941039377203575,0.0,3.3812499046325684,0.04351011499824366,0.30386407144813155,0.0,2.535937547683716,0.8303423228352891,0.17973579917491897,0.0,0.9859374761581421,0.979253112033195,11.91701244813278,12.12287372791953,1.0,64.0,0.8590520963072776,10.129527807235718,-3.8277889847755433,67.3690215587616,29.848129272460938,27.70215606689453
100,12710,256000,219.26925836905315,1323,0.9016211884962001,0.3619491861664336,0.0,3.4375,0.06056338100925857,0.34812590722680725,0.0,2.578125,0.8410578072071075,0.16867263980973038,0.0,0.9859374761581421,0.9812206572769953,11.169014084507042,11.350149529109077,1.0,64.0,0.8644188597798348,10.351542234420776,-3.283416897058487,70.09580936431885,31.755845069885254,23.38390827178955
