__main__: 2020-05-19 01:30:23,430: Could not figure out the last commit
__main__: 2020-05-19 01:30:23,484: Could not figure out the last commit
__main__: 2020-05-19 01:30:23,484: COMMAND LINE ARGS:
__main__: 2020-05-19 01:30:23,484: Namespace(algo='ppo', arch='expert_filmcnn', batch_size=1280, beta1=0.9, beta2=0.999, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='BabyAI-GoToRedBallGrey-v0', epoch_length=0, epochs=1000000, frames=90000000000, frames_per_proc=40, gae_lambda=0.99, image_dim=128, instr_arch='gru', instr_dim=128, log_interval=1, lr=0.0001, max_grad_norm=0.5, memory_dim=128, model='BabyAI-GoToRedBallGrey-v0_ppo_ObjectsVisitRestrainingBolt_True_expert_filmcnn_gru_mem_seed1_20-05-19-01-30-11', no_instr=False, no_mem=False, optim_alpha=0.99, optim_eps=1e-05, patience=100, ppo_epochs=4, pretrained_model=None, procs=64, rb='ObjectsVisitRestrainingBolt', rb_prop=True, recurrence=20, reward_scale=20.0, save_interval=50, seed=1, task_id_seed=False, tb=True, val_episodes=500, val_interval=1, val_seed=1000000000, value_loss_coef=0.5)
__main__: 2020-05-19 01:30:23,484: CUDA available: True
__main__: 2020-05-19 01:30:23,484: ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 128, kernel_size=(2, 2), stride=(1, 1), padding=(1, 1))
    (1): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): MaxPool2d(kernel_size=(2, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
    (4): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (5): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (6): ReLU()
    (7): MaxPool2d(kernel_size=(2, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (film_pool): MaxPool2d(kernel_size=(2, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (word_embedding): Embedding(100, 128)
  (instr_rnn): GRU(128, 128, batch_first=True)
  (memory_rnn): LSTMCell(128, 128)
  (FiLM_Controler_0): ExpertControllerFiLM(
    (conv1): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (bn1): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (conv2): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (bn2): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (weight): Linear(in_features=128, out_features=128, bias=True)
    (bias): Linear(in_features=128, out_features=128, bias=True)
  )
  (FiLM_Controler_1): ExpertControllerFiLM(
    (conv1): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (bn1): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (conv2): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (bn2): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (weight): Linear(in_features=128, out_features=128, bias=True)
    (bias): Linear(in_features=128, out_features=128, bias=True)
  )
  (actor): Sequential(
    (0): Linear(in_features=128, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=128, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)
__main__: 2020-05-19 01:30:27,171: U 1 | E 13 | F 002560 | FPS 0695 | D 3 | R:xsmM  0.16  0.33  0.00  0.97 | Rb:xsmM  0.00  0.00  0.00  0.00 | Rv:xsmM  0.16  0.33  0.00  0.97 | S 0.20 | F:xsmM 2.9 7.4 0.0 34.0 | H 1.931 | V 0.241 | pL -0.871 | vL 10.136 | L 4.177 | gN 2.623 | 
__main__: 2020-05-19 01:30:30,274: U 2 | E 76 | F 005120 | FPS 0826 | D 6 | R:xsmM  0.07  0.20  0.00  0.93 | Rb:xsmM  0.00  0.02  0.00  0.13 | Rv:xsmM  0.07  0.20  0.00  0.93 | S 0.16 | F:xsmM 60.0 12.3 5.0 64.0 | H 1.924 | V 0.180 | pL -0.219 | vL 3.113 | L 1.319 | gN 1.186 | 
__main__: 2020-05-19 01:30:33,327: U 3 | E 92 | F 007680 | FPS 0839 | D 9 | R:xsmM  0.16  0.30  0.00  0.93 | Rb:xsmM  0.01  0.04  0.00  0.28 | Rv:xsmM  0.15  0.29  0.00  0.93 | S 0.23 | F:xsmM 55.0 18.2 5.0 64.0 | H 1.917 | V 0.285 | pL -0.508 | vL 5.243 | L 2.095 | gN 1.810 | 
__main__: 2020-05-19 01:30:36,437: U 4 | E 156 | F 010240 | FPS 0824 | D 12 | R:xsmM  0.07  0.22  0.00  1.12 | Rb:xsmM  0.01  0.05  0.00  0.37 | Rv:xsmM  0.06  0.19  0.00  0.80 | S 0.11 | F:xsmM 60.5 11.5 14.0 64.0 | H 1.909 | V 0.339 | pL -0.461 | vL 6.214 | L 2.627 | gN 1.768 | 
__main__: 2020-05-19 01:30:39,517: U 5 | E 208 | F 012800 | FPS 0832 | D 16 | R:xsmM  0.11  0.25  0.00  1.12 | Rb:xsmM  0.01  0.06  0.00  0.37 | Rv:xsmM  0.10  0.22  0.00  0.80 | S 0.22 | F:xsmM 58.5 12.8 14.0 64.0 | H 1.891 | V 0.354 | pL -0.232 | vL 2.675 | L 1.087 | gN 1.469 | 
__main__: 2020-05-19 01:30:42,573: U 6 | E 238 | F 015360 | FPS 0839 | D 19 | R:xsmM  0.15  0.27  0.00  0.83 | Rb:xsmM  0.00  0.02  0.00  0.16 | Rv:xsmM  0.14  0.27  0.00  0.83 | S 0.23 | F:xsmM 55.5 16.2 12.0 64.0 | H 1.886 | V 0.487 | pL -0.862 | vL 8.933 | L 3.586 | gN 2.366 | 
__main__: 2020-05-19 01:30:45,671: U 7 | E 296 | F 017920 | FPS 0827 | D 22 | R:xsmM  0.19  0.29  0.00  0.92 | Rb:xsmM  0.00  0.02  0.00  0.16 | Rv:xsmM  0.18  0.29  0.00  0.92 | S 0.34 | F:xsmM 53.4 17.5 6.0 64.0 | H 1.874 | V 0.723 | pL -0.713 | vL 8.643 | L 3.590 | gN 2.772 | 
__main__: 2020-05-19 01:30:48,773: U 8 | E 350 | F 020480 | FPS 0827 | D 25 | R:xsmM  0.20  0.32  0.00  0.92 | Rb:xsmM  0.00  0.00  0.00  0.00 | Rv:xsmM  0.20  0.32  0.00  0.92 | S 0.31 | F:xsmM 52.0 19.6 6.0 64.0 | H 1.853 | V 0.690 | pL -0.406 | vL 7.056 | L 3.104 | gN 2.470 | 
__main__: 2020-05-19 01:30:51,857: U 9 | E 395 | F 023040 | FPS 0831 | D 28 | R:xsmM  0.21  0.33  0.00  0.97 | Rb:xsmM  0.00  0.00  0.00  0.00 | Rv:xsmM  0.21  0.33  0.00  0.97 | S 0.33 | F:xsmM 51.1 20.5 2.0 64.0 | H 1.827 | V 0.901 | pL -0.967 | vL 12.512 | L 5.271 | gN 3.275 | 
__main__: 2020-05-19 01:30:54,945: U 10 | E 452 | F 025600 | FPS 0830 | D 31 | R:xsmM  0.23  0.32  0.00  0.97 | Rb:xsmM  0.01  0.04  0.00  0.25 | Rv:xsmM  0.22  0.31  0.00  0.97 | S 0.42 | F:xsmM 51.1 19.4 2.0 64.0 | H 1.792 | V 1.099 | pL -0.964 | vL 11.732 | L 4.884 | gN 3.457 | 
__main__: 2020-05-19 01:30:57,986: U 11 | E 495 | F 028160 | FPS 0843 | D 34 | R:xsmM  0.30  0.35  0.00  0.96 | Rb:xsmM  0.00  0.00  0.00  0.00 | Rv:xsmM  0.30  0.35  0.00  0.96 | S 0.48 | F:xsmM 46.0 22.0 3.0 64.0 | H 1.794 | V 1.250 | pL -0.873 | vL 11.083 | L 4.651 | gN 3.507 | 
